German,English
die,the
und,and
der,the
in,in
das,the
den,the
zu,to
mit,with
ist,is
von,from
für,for
auf,on
nicht,not
es,it
ein,a
im,in the
auch,also
sich,itself
ich,I
sie,she
eine,one
dem,dem
des,of
an,at
als,as
werden,become
bei,at
sind,are
dass,that
so,so
oder,or
wie,How
aus,out of
wir,we
aber,but
wird,becomes
nach,after
man,man
er,he
hat,has
noch,still
einen,a
nur,only
um,around
am,at the
einer,one
zum,for the
kann,can
einem,a
über,above
war,was
wenn,if
haben,have
durch,through
dann,then
vor,before
zur,to
mehr,more
was,What
diese,this
da,there
können,can
schon,already
sein,be
bis,until
wurde,became
hier,here
sehr,very
wieder,again
immer,always
uns,us
ihr,her
mir,me
mal,just
ihre,her
alle,all
dieser,this
doch,but
habe,have
gibt,gives
vom,from the
mich,me
unter,under
du,you
ja,Yes
keine,no
gut,good
damit,with it
hatte,had
ganz,quite
beim,at the
eines,one
denn,because
muss,must
nun,so
Zeit,Time
seine,his
jetzt,now
etwas,something
gegen,against
dabei,included
also,so
viel,much
diesem,this
ab,away
viele,many
zwei,two
anderen,others
ohne,without
selbst,himself
alles,everything
sowie,as well as 
Menschen,People
waren,were
seit,since
einfach,simply
geht,goes
Jahr,Year
dieses,this
heute,today
sondern,rather
neue,new
wurden,became
Jahren,Years
bereits,already
machen,make
sollte,should
ob,if
weil,because
soll,should
ihrer,of their
ihren,your
dazu,in addition
dies,this
ersten,first
zwischen,between
ihnen,them
bin,am
lassen,let
andere,other
meine,mine
seiner,his
Jahre,Years
unsere,our
leben,life
wer,who
neuen,new
weiter,further
kommt,comes
müssen,must
einmal,once
wo,where
dort,there
erst,first
kein,no
natürlich,naturally
ihn,him
diesen,this
jedoch,however
konnte,could
ihm,him
würde,would
finden,find
drei,three
seinen,his
will,want
nichts,nothing
uhr,clock
macht,might
allem,all
sei,be
Euro,Euro
wirklich,really
ins,into the
steht,stands
kommen,come
daß,that
gerade,straight
Deutschland,Germany
während,while
Tag,Day
allerdings,however
Kinder,Children
dafür,for that
wäre,were
welche,which
Ende,End
wohl,probably
mein,my
einige,some
Weg,Away
jeder,everyone
letzten,last
sehen,see
allen,all
weitere,more
besonders,particularly
zwar,that is
neben,next to
vielen,many
vielleicht,perhaps
beiden,both
Welt,World
ihrem,hers
unternehmen,company
wollen,want
liegt,lies
Teil,Part
seinem,his
stehen,stand
bzw.,or.
fast,nearly
Stadt,City
erste,first
euch,you
gar,even
sogar,even
geben,give
deutschen,German
möglich,possible
etwa,approximately
schnell,fast
Seite,Page
großen,huge
Frage,Ask
denen,whom
eigentlich,actually
unserer,ours
gehen,go
gute,good
Arbeit,Work
recht,right
oft,often
genau,Exactly
lange,long
wenig,few
leider,unfortunately
hatten,had
davon,of that
Thema,Theme
gemacht,made
Fall,case
eigenen,own
dir,you
könnte,could
unser,our
große,size
zusammen,together
bietet,offers
besser,better
Frau,Woman
möchte,want
darauf,on it
gab,gave
Spiel,Game
rund,around
Art,Kind
gleich,even
hätte,would have
Platz,Place
Prozent,percent
Beispiel,Example
sicher,secure
daher,therefore
wissen,knowledge
kleinen,small
paar,couple
de,de
meiner,mine
kam,came
findet,find
sagen,say
gerne,gladly
deshalb,for this reason
zurück,back
jeden,every
sollten,should
statt,instead of
lässt,leaves
Liebe,Love
richtig,correct
kleine,small
stellen,place
fragen,questions
deren,whose
worden,gone
weiß,white
sollen,should
tun,do
erhalten,receive
wegen,because of
eher,rather
weniger,fewer
direkt,direct
ebenfalls,also
darüber,about it
ging,went
Informationen,information
nie,never
Bereich,Area
später,later
ganze,whole
dich,you
hin,there
warum,Why
hab,have
vier,four
nehmen,take
sieht,sees
geschichte,story
je,ever
Kunden,Customers
keinen,no
werde,become
aller,all
kurz,short
Geld,Money
bekommen,receive
gilt,applies
Möglichkeit,Possibility
nächsten,next
deutlich,clearly
außerdem,aside from that
Frauen,Women
arbeiten,work
bleibt,remains
klar,clear
kaum,barely
eben,even
meinen,mean
wollte,wanted
Ziel,Goal
Berlin,Berlin
zeigt,shows
Mann,Man
Buch,Book
rahmen,frame
konnten,could
besten,best
bitte,please
somit,thus
stand,was standing
sagt,says
Bild,Picture
darf,may
Entwicklung,Development
gehört,heard
pro,Per
zudem,in addition
wichtig,important
Internet,Internet
Wasser,Water
spielen,play
bieten,offer
Tage,Days
neu,new
Woche,Week
Minuten,Minute
unseren,ours
stellt,places
Verfügung,Disposal
bisher,until now
deutsche,German
verschiedenen,different
Land,country
guten,good
Ort,Location
schön,nice
gegenüber,opposite
solche,such
kosten,cost
Form,shape
weit,far
weiteren,further
Wochen,Weeks
zweiten,second
musste,had to
Haus,House
dank,thanks to
eigene,own
meisten,most
bleiben,remain
insgesamt,in total
Grund,Reason
Problem,problem
besteht,consists
sagte,said
jede,every
nachdem,after
ebenso,as well
beide,both
anders,different
danach,thereafter
Familie,Family
meinem,my
alten,old
bringen,bring
daran,to it
Leute,People
aufgrund,because of
Eltern,Parents
gemeinsam,together
sofort,immediately
dessen,whose
halten,hold
nutzen,to use
Hand,hand
lesen,read
leicht,light
anfang,beginning
jedem,each
bekannt,known
Hilfe,Help
Blick,View
schließlich,finally
dadurch,through this
Zukunft,Future
Namen,Names
sowohl,as well as
überhaupt,at all
unserem,ours
zunächst,first
Stunden,Hours
hinter,behind
hast,have
heißt,is called
Stelle,Job
finde,find
Einsatz,Mission
Team,team
trotz,despite
Millionen,millions
insbesondere,in particular
gewesen,been
Musik,Music
endlich,finally
sonst,otherwise
weise,way
per,by
innerhalb,within
Schule,School
fünf,five
zeigen,show
fest,firmly
ganzen,entire
führen,lead
führt,leads
Artikel,Article
stark,strong
allein,alone
liegen,lay
Personen,persons
Mai,May
Seiten,pages
oben,above
trotzdem,despite it
Bilder,Pictures
meist,most of time
Film,Movie
obwohl,although
Daten,Data
Erfolg,Success
würden,would
jedes,every
kind,child
verschiedene,different
Probleme,Problems
neues,new
Gott,God
hinaus,out of
Abend,Evening
mehrere,several
damals,at that time
Preis,Price
lernen,learn
beispielsweise,for example
einzelnen,individual
Gruppe,group
weiterhin,furthermore
deine,your
nämlich,namely
fand,found
zumindest,at least
Juni,June
Richtung,Direction
gesagt,said
hallo,Hello
Gesellschaft,Company
mitarbeiter,employees
einigen,agree
lang,long
schwer,difficult
hoch,high
Programm,program
Augen,Eyes
welches,which
dennoch,nonetheless
geworden,become
Rolle,role
wert,value
